subject_id,filename,source_url,local_path,size_bytes,download_status,validation_status,downloaded_at,error_message
s01,s01.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s01.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s01.mat,203446256,skipped_exists,ok,2026-06-15T16:55:59.000216+00:00,
s02,s02.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s02.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s02.mat,205356726,ok,ok,2026-06-15T16:56:15.958084+00:00,
s03,s03.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s03.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s03.mat,206547925,ok,ok,2026-06-15T16:56:40.399668+00:00,
s04,s04.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s04.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s04.mat,200456673,ok,ok,2026-06-15T16:57:05.511294+00:00,
s05,s05.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s05.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s05.mat,204209809,ok,ok,2026-06-15T16:57:23.782900+00:00,
s06,s06.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s06.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s06.mat,201737794,ok,ok,2026-06-15T16:57:38.077672+00:00,
s07,s07.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s07.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s07.mat,233546637,ok,ok,2026-06-15T16:57:55.525448+00:00,
s08,s08.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s08.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s08.mat,202618405,ok,ok,2026-06-15T16:58:12.098488+00:00,
s09,s09.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s09.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s09.mat,234672043,ok,ok,2026-06-15T16:58:31.409747+00:00,
s10,s10.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s10.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s10.mat,202678732,ok,ok,2026-06-15T16:58:47.383287+00:00,
s11,s11.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s11.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s11.mat,203651167,ok,ok,2026-06-15T16:59:24.082382+00:00,
s12,s12.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s12.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s12.mat,208557544,ok,ok,2026-06-15T16:59:38.900223+00:00,
s13,s13.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s13.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s13.mat,199330843,ok,ok,2026-06-15T16:59:55.942348+00:00,
s14,s14.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s14.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s14.mat,203565516,ok,ok,2026-06-15T17:00:18.195827+00:00,
s15,s15.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s15.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s15.mat,203290650,ok,ok,2026-06-15T17:00:36.398016+00:00,
s16,s16.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s16.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s16.mat,204250575,ok,ok,2026-06-15T17:00:56.527742+00:00,
s17,s17.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s17.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s17.mat,205150610,ok,ok,2026-06-15T17:01:12.772998+00:00,
s18,s18.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s18.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s18.mat,201912526,ok,ok,2026-06-15T17:01:30.581706+00:00,
s19,s19.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s19.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s19.mat,207257547,ok,ok,2026-06-15T17:01:50.152758+00:00,
s20,s20.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s20.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s20.mat,202043554,ok,ok,2026-06-15T17:02:09.315982+00:00,
s21,s21.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s21.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s21.mat,202697521,ok,ok,2026-06-15T17:02:29.355418+00:00,
s22,s22.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s22.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s22.mat,203579859,ok,ok,2026-06-15T17:02:45.857155+00:00,
s23,s23.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s23.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s23.mat,205256611,ok,ok,2026-06-15T17:03:01.326377+00:00,
s24,s24.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s24.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s24.mat,202913409,ok,ok,2026-06-15T17:03:18.459337+00:00,
s25,s25.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s25.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s25.mat,205061623,ok,ok,2026-06-15T17:03:33.333948+00:00,
