subject_id,split_method,train_left,train_right,val_left,val_right,test_left,test_right,n_excluded,n_total
s01,run_holdout,60,60,20,20,20,20,0,200
s02,run_holdout,60,60,20,20,19,20,1,200
s03,run_holdout,60,60,20,20,20,20,0,200
s04,run_holdout,60,60,20,20,20,20,0,200
s05,run_holdout,59,60,20,20,20,20,1,200
s06,run_holdout,60,46,18,18,20,16,22,200
s07,run_holdout,80,80,20,20,19,20,1,240
s08,run_holdout,58,60,20,20,20,20,2,200
s09,run_holdout,80,80,20,20,20,20,0,240
s10,run_holdout,60,60,20,20,20,20,0,200
s11,run_holdout,60,60,20,20,20,20,0,200
s12,run_holdout,56,53,18,20,12,15,26,200
s13,run_holdout,60,60,20,20,20,20,0,200
s14,run_holdout,60,60,20,20,20,20,0,200
s15,run_holdout,58,55,20,19,19,19,10,200
s16,run_holdout,60,60,19,20,20,20,1,200
s17,run_holdout,60,59,20,20,20,20,1,200
s18,run_holdout,60,60,20,20,20,20,0,200
s19,run_holdout,55,40,11,5,15,17,57,200
s20,run_holdout,21,30,6,17,3,6,117,200
s21,run_holdout,60,60,20,20,20,19,1,200
s22,run_holdout,60,59,20,20,20,20,1,200
s23,run_holdout,59,59,19,20,20,20,3,200
s24,run_holdout,59,60,20,20,20,20,1,200
s25,run_holdout,60,58,18,20,19,20,5,200
s26,run_holdout,60,58,20,20,20,20,2,200
s27,run_holdout,53,57,18,19,18,19,16,200
s28,run_holdout,60,58,19,18,20,20,5,200
s30,run_holdout,22,22,20,18,20,20,78,200
s31,run_holdout,59,60,20,20,20,20,1,200
s32,run_holdout,60,60,20,20,20,20,0,200
s33,run_holdout,59,59,18,19,19,18,8,200
s35,run_holdout,60,60,20,20,20,20,0,200
s36,run_holdout,58,59,19,19,19,19,7,200
s37,run_holdout,60,60,20,17,20,19,4,200
s38,run_holdout,59,56,18,19,19,20,9,200
s39,run_holdout,60,59,20,20,20,20,1,200
s40,run_holdout,60,60,20,20,20,20,0,200
s41,run_holdout,60,59,20,20,20,20,1,200
s42,run_holdout,60,60,20,20,20,20,0,200
s43,run_holdout,60,60,20,20,20,20,0,200
s44,run_holdout,60,58,20,20,20,20,2,200
s45,run_holdout,59,58,20,19,20,20,4,200
s46,run_holdout,79,80,20,20,20,20,1,240
s47,run_holdout,58,59,19,19,17,20,8,200
s48,run_holdout,60,59,20,20,20,20,1,200
s49,run_holdout,53,60,19,20,20,20,8,200
s50,run_holdout,60,60,20,20,20,20,0,200
s51,run_holdout,59,59,19,17,20,20,6,200
s52,run_holdout,60,60,20,20,20,20,0,200
