subject_id,seed,best_epoch,train_time_seconds,val_metric,n_candidates_evaluated,selected_candidate,candidate_config_hash,tuning_seed,model_source,trainable_parameters,device,class_weights_used,latency_device
s01,42,14,64.29824319999898,0.7,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s02,42,12,58.32498910004506,0.55,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s03,42,39,114.82719639997231,0.975,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s04,42,63,152.90978749998612,0.7749999999999999,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s05,42,10,64.54831440001726,0.7,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s06,42,30,86.88858779997099,0.7777777777777777,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,True,cuda
s07,42,4,71.61079139995854,0.6000000000000001,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s08,42,24,84.14595520001603,0.65,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s09,42,27,119.00246990000596,0.725,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s10,42,34,105.36920749995625,0.775,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s11,42,1,52.97686120000435,0.55,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s12,42,24,85.45067519997247,0.6722222222222223,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s13,42,37,117.07717380003305,0.825,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s14,42,5,60.86234180000611,0.95,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s15,42,21,84.58588359999703,0.7184210526315788,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s16,42,18,87.28882009995868,0.7447368421052631,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s17,42,22,100.19786110002315,0.6000000000000001,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s18,42,0,61.051816100021824,0.6,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s19,42,33,92.6338676000014,0.7181818181818183,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,True,cuda
s20,42,31,52.835210099990945,0.6176470588235294,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,True,cuda
s21,42,12,87.67188629996963,0.675,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s22,42,24,117.94977559999097,0.75,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s23,42,6,78.04643990000477,0.7118421052631578,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s24,42,17,106.29699319996871,0.65,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s25,42,0,63.07703540002694,0.6444444444444444,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s26,42,0,65.28131440002471,0.5,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s27,42,8,78.84082919999491,0.5628654970760234,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s28,42,18,99.50760419998551,0.5921052631578947,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s30,42,17,40.828003899951,0.6916666666666667,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s31,42,28,115.9605603000382,0.725,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s32,42,1,63.15778459998546,0.5,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
s33,42,4,74.86093940003775,0.6491228070175439,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s35,42,57,192.39491249999264,0.95,2,c1,ac845e4965f4bb81,42,braindecode,76088,cuda,False,cuda
s36,42,44,162.73043760005385,0.8157894736842105,2,c0,c3a9f327113000e8,42,braindecode,76088,cuda,False,cuda
