subject_id,csp_lda,eegnet,atcnet
s01,2.0,2.0,1.0
s02,3.0,2.0,1.0
s03,2.0,3.0,1.0
s04,1.0,3.0,2.0
s05,1.0,2.0,3.0
s06,1.0,3.0,2.0
s07,3.0,1.0,1.0
s08,2.0,1.0,2.0
s09,1.0,2.0,2.0
s10,1.0,3.0,2.0
s11,1.0,1.0,1.0
s12,1.0,3.0,1.0
s13,2.0,3.0,1.0
s14,3.0,1.0,2.0
s15,1.0,3.0,2.0
s16,1.0,3.0,1.0
s17,1.0,1.0,3.0
s18,1.0,2.0,3.0
s19,1.0,1.0,3.0
s20,1.0,3.0,2.0
s21,1.0,3.0,2.0
s22,1.0,3.0,2.0
s23,1.0,3.0,2.0
s24,1.0,3.0,2.0
s25,1.0,2.0,3.0
s26,1.0,2.0,2.0
s27,2.0,1.0,2.0
s28,1.0,3.0,2.0
s30,1.0,2.0,3.0
s31,3.0,1.0,1.0
s32,3.0,1.0,2.0
s33,2.0,3.0,1.0
s35,1.0,3.0,2.0
s36,1.0,2.0,2.0
s37,1.0,3.0,2.0
s38,1.0,3.0,2.0
s39,1.0,3.0,2.0
s40,3.0,2.0,1.0
s41,1.0,3.0,2.0
s42,1.0,2.0,3.0
s43,1.0,2.0,2.0
s44,2.0,3.0,1.0
s45,3.0,2.0,1.0
s46,1.0,3.0,2.0
s47,1.0,3.0,2.0
s48,2.0,2.0,1.0
s49,1.0,2.0,3.0
s50,2.0,3.0,1.0
s51,1.0,2.0,3.0
s52,1.0,2.0,2.0
