subject_id,id,n_components,reg,lda_solver,selected_candidate,candidate_config_hash,n_candidates_evaluated,tuning_seed,val_balanced_accuracy
s01,nc6_regNone_ldasvd,6,,svd,nc6_regNone_ldasvd,b6791337d3165973,12,42,0.8
s02,nc6_regledoit_wolf_ldalsqr_shrinkage,6,ledoit_wolf,lsqr_shrinkage,nc6_regledoit_wolf_ldalsqr_shrinkage,60d34989619b3e32,12,42,0.55
s03,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.975
s04,nc6_regNone_ldasvd,6,,svd,nc6_regNone_ldasvd,b6791337d3165973,12,42,0.925
s05,nc8_regNone_ldasvd,8,,svd,nc8_regNone_ldasvd,ed6254f1c7da3299,12,42,0.7749999999999999
s06,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.9444444444444444
s07,nc8_regNone_ldasvd,8,,svd,nc8_regNone_ldasvd,ed6254f1c7da3299,12,42,0.5
s08,nc6_regNone_ldalsqr_shrinkage,6,,lsqr_shrinkage,nc6_regNone_ldalsqr_shrinkage,b5bda933e27399f9,12,42,0.6
s09,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.8
s10,nc4_regledoit_wolf_ldasvd,4,ledoit_wolf,svd,nc4_regledoit_wolf_ldasvd,6b7699e3ac3b51ba,12,42,0.9
s11,nc4_regledoit_wolf_ldalsqr_shrinkage,4,ledoit_wolf,lsqr_shrinkage,nc4_regledoit_wolf_ldalsqr_shrinkage,6a2f4487f1ef6fe2,12,42,0.65
s12,nc4_regNone_ldalsqr_shrinkage,4,,lsqr_shrinkage,nc4_regNone_ldalsqr_shrinkage,448bc25afb498487,12,42,0.7361111111111112
s13,nc8_regNone_ldalsqr_shrinkage,8,,lsqr_shrinkage,nc8_regNone_ldalsqr_shrinkage,a3f704fda0c24e39,12,42,0.675
s14,nc6_regNone_ldasvd,6,,svd,nc6_regNone_ldasvd,b6791337d3165973,12,42,0.95
s15,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.8210526315789474
s16,nc4_regNone_ldalsqr_shrinkage,4,,lsqr_shrinkage,nc4_regNone_ldalsqr_shrinkage,448bc25afb498487,12,42,0.743421052631579
s17,nc6_regledoit_wolf_ldalsqr_shrinkage,6,ledoit_wolf,lsqr_shrinkage,nc6_regledoit_wolf_ldalsqr_shrinkage,60d34989619b3e32,12,42,0.525
s18,nc6_regNone_ldasvd,6,,svd,nc6_regNone_ldasvd,b6791337d3165973,12,42,0.65
s19,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.6
s20,nc6_regledoit_wolf_ldasvd,6,ledoit_wolf,svd,nc6_regledoit_wolf_ldasvd,528bee6990afa9da,12,42,0.7990196078431373
s21,nc6_regledoit_wolf_ldalsqr_shrinkage,6,ledoit_wolf,lsqr_shrinkage,nc6_regledoit_wolf_ldalsqr_shrinkage,60d34989619b3e32,12,42,0.825
s22,nc4_regledoit_wolf_ldalsqr_shrinkage,4,ledoit_wolf,lsqr_shrinkage,nc4_regledoit_wolf_ldalsqr_shrinkage,6a2f4487f1ef6fe2,12,42,0.65
s23,nc4_regledoit_wolf_ldasvd,4,ledoit_wolf,svd,nc4_regledoit_wolf_ldasvd,6b7699e3ac3b51ba,12,42,0.925
s24,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.8500000000000001
s25,nc6_regNone_ldalsqr_shrinkage,6,,lsqr_shrinkage,nc6_regNone_ldalsqr_shrinkage,b5bda933e27399f9,12,42,0.7027777777777777
s26,nc4_regNone_ldalsqr_shrinkage,4,,lsqr_shrinkage,nc4_regNone_ldalsqr_shrinkage,448bc25afb498487,12,42,0.6
s27,nc8_regNone_ldalsqr_shrinkage,8,,lsqr_shrinkage,nc8_regNone_ldalsqr_shrinkage,a3f704fda0c24e39,12,42,0.6491228070175439
s28,nc8_regNone_ldasvd,8,,svd,nc8_regNone_ldasvd,ed6254f1c7da3299,12,42,0.6418128654970761
s30,nc4_regledoit_wolf_ldalsqr_shrinkage,4,ledoit_wolf,lsqr_shrinkage,nc4_regledoit_wolf_ldalsqr_shrinkage,6a2f4487f1ef6fe2,12,42,0.7527777777777778
s31,nc6_regNone_ldasvd,6,,svd,nc6_regNone_ldasvd,b6791337d3165973,12,42,0.7250000000000001
s32,nc6_regledoit_wolf_ldasvd,6,ledoit_wolf,svd,nc6_regledoit_wolf_ldasvd,528bee6990afa9da,12,42,0.6000000000000001
s33,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.652046783625731
s35,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.95
s36,nc8_regledoit_wolf_ldasvd,8,ledoit_wolf,svd,nc8_regledoit_wolf_ldasvd,72d639c564c3ea85,12,42,0.8947368421052632
s37,nc8_regNone_ldasvd,8,,svd,nc8_regNone_ldasvd,ed6254f1c7da3299,12,42,0.75
s38,nc4_regNone_ldalsqr_shrinkage,4,,lsqr_shrinkage,nc4_regNone_ldalsqr_shrinkage,448bc25afb498487,12,42,0.6169590643274854
s39,nc4_regledoit_wolf_ldasvd,4,ledoit_wolf,svd,nc4_regledoit_wolf_ldasvd,6b7699e3ac3b51ba,12,42,0.725
s40,nc6_regledoit_wolf_ldasvd,6,ledoit_wolf,svd,nc6_regledoit_wolf_ldasvd,528bee6990afa9da,12,42,0.55
s41,nc4_regledoit_wolf_ldasvd,4,ledoit_wolf,svd,nc4_regledoit_wolf_ldasvd,6b7699e3ac3b51ba,12,42,0.95
s42,nc4_regNone_ldalsqr_shrinkage,4,,lsqr_shrinkage,nc4_regNone_ldalsqr_shrinkage,448bc25afb498487,12,42,0.7250000000000001
s43,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,1.0
s44,nc8_regNone_ldasvd,8,,svd,nc8_regNone_ldasvd,ed6254f1c7da3299,12,42,0.775
s45,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.6934210526315789
s46,nc8_regNone_ldasvd,8,,svd,nc8_regNone_ldasvd,ed6254f1c7da3299,12,42,0.825
s47,nc8_regledoit_wolf_ldasvd,8,ledoit_wolf,svd,nc8_regledoit_wolf_ldasvd,72d639c564c3ea85,12,42,0.763157894736842
s48,nc4_regNone_ldalsqr_shrinkage,4,,lsqr_shrinkage,nc4_regNone_ldalsqr_shrinkage,448bc25afb498487,12,42,0.75
s49,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.8421052631578947
s50,nc4_regNone_ldasvd,4,,svd,nc4_regNone_ldasvd,dde9dc49fb880c65,12,42,0.8500000000000001
s51,nc8_regledoit_wolf_ldasvd,8,ledoit_wolf,svd,nc8_regledoit_wolf_ldasvd,72d639c564c3ea85,12,42,0.6455108359133126
s52,nc6_regNone_ldasvd,6,,svd,nc6_regNone_ldasvd,b6791337d3165973,12,42,0.875
