subject_id,raw_present,processed_present,n_trials,srate,n_channels,has_nan,has_inf
s01,True,True,200,256,64,False,False
s02,True,True,200,256,64,False,False
s03,True,True,200,256,64,False,False
s04,True,True,200,256,64,False,False
s05,True,True,200,256,64,False,False
s06,True,True,200,256,64,False,False
s07,True,True,240,256,64,False,False
s08,True,True,200,256,64,False,False
s09,True,True,240,256,64,False,False
s10,True,True,200,256,64,False,False
s11,True,True,200,256,64,False,False
s12,True,True,200,256,64,False,False
s13,True,True,200,256,64,False,False
s14,True,True,200,256,64,False,False
s15,True,True,200,256,64,False,False
s16,True,True,200,256,64,False,False
s17,True,True,200,256,64,False,False
s18,True,True,200,256,64,False,False
s19,True,True,200,256,64,False,False
s20,True,True,200,256,64,False,False
s21,True,True,200,256,64,False,False
s22,True,True,200,256,64,False,False
s23,True,True,200,256,64,False,False
s24,True,True,200,256,64,False,False
s25,True,True,200,256,64,False,False
s26,True,True,200,256,64,False,False
s27,True,True,200,256,64,False,False
s28,True,True,200,256,64,False,False
s29,True,True,200,256,64,False,False
s30,True,True,200,256,64,False,False
s31,True,True,200,256,64,False,False
s32,True,True,200,256,64,False,False
s33,True,True,200,256,64,False,False
s34,True,True,200,256,64,False,False
s35,True,True,200,256,64,False,False
s36,True,True,200,256,64,False,False
s37,True,True,200,256,64,False,False
s38,True,True,200,256,64,False,False
s39,True,True,200,256,64,False,False
s40,True,True,200,256,64,False,False
s41,True,True,200,256,64,False,False
s42,True,True,200,256,64,False,False
s43,True,True,200,256,64,False,False
s44,True,True,200,256,64,False,False
s45,True,True,200,256,64,False,False
s46,True,True,240,256,64,False,False
s47,True,True,200,256,64,False,False
s48,True,True,200,256,64,False,False
s49,True,True,200,256,64,False,False
s50,True,True,200,256,64,False,False
s51,True,True,200,256,64,False,False
s52,True,True,200,256,64,False,False
