subject_id,class_label,n_total,n_included
s01,left_hand,100,100
s01,right_hand,100,100
s02,left_hand,100,99
s02,right_hand,100,100
s03,left_hand,100,100
s03,right_hand,100,100
s04,left_hand,100,100
s04,right_hand,100,100
s05,left_hand,100,99
s05,right_hand,100,100
s06,left_hand,100,98
s06,right_hand,100,80
s07,left_hand,120,119
s07,right_hand,120,120
s08,left_hand,100,98
s08,right_hand,100,100
s09,left_hand,120,120
s09,right_hand,120,120
s10,left_hand,100,100
s10,right_hand,100,100
s11,left_hand,100,100
s11,right_hand,100,100
s12,left_hand,100,86
s12,right_hand,100,88
s13,left_hand,100,100
s13,right_hand,100,100
s14,left_hand,100,100
s14,right_hand,100,100
s15,left_hand,100,97
s15,right_hand,100,93
s16,left_hand,100,99
s16,right_hand,100,100
s17,left_hand,100,100
s17,right_hand,100,99
s18,left_hand,100,100
s18,right_hand,100,100
s19,left_hand,100,81
s19,right_hand,100,62
s20,left_hand,100,30
s20,right_hand,100,53
s21,left_hand,100,100
s21,right_hand,100,99
s22,left_hand,100,100
s22,right_hand,100,99
s23,left_hand,100,98
s23,right_hand,100,99
s24,left_hand,100,99
s24,right_hand,100,100
s25,left_hand,100,97
s25,right_hand,100,98
s26,left_hand,100,100
s26,right_hand,100,98
s27,left_hand,100,89
s27,right_hand,100,95
s28,left_hand,100,99
s28,right_hand,100,96
s30,left_hand,100,62
s30,right_hand,100,60
s31,left_hand,100,99
s31,right_hand,100,100
s32,left_hand,100,100
s32,right_hand,100,100
s33,left_hand,100,96
s33,right_hand,100,96
s35,left_hand,100,100
s35,right_hand,100,100
s36,left_hand,100,96
s36,right_hand,100,97
s37,left_hand,100,100
s37,right_hand,100,96
s38,left_hand,100,96
s38,right_hand,100,95
s39,left_hand,100,100
s39,right_hand,100,99
s40,left_hand,100,100
s40,right_hand,100,100
s41,left_hand,100,100
s41,right_hand,100,99
s42,left_hand,100,100
s42,right_hand,100,100
s43,left_hand,100,100
s43,right_hand,100,100
s44,left_hand,100,100
s44,right_hand,100,98
s45,left_hand,100,99
s45,right_hand,100,97
s46,left_hand,120,119
s46,right_hand,120,120
s47,left_hand,100,94
s47,right_hand,100,98
s48,left_hand,100,100
s48,right_hand,100,99
s49,left_hand,100,92
s49,right_hand,100,100
s50,left_hand,100,100
s50,right_hand,100,100
s51,left_hand,100,98
s51,right_hand,100,96
s52,left_hand,100,100
s52,right_hand,100,100
