model_name,subject_id,split_method,n_train,n_validation,n_test,accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc,left_precision,left_recall,left_f1,right_precision,right_recall,right_f1,tn,fp,fn,tp,best_epoch,train_time_seconds,inference_mean_ms,inference_median_ms,inference_p95_ms,trainable_parameters,status,error_message,seed,split_manifest_hash,preprocessing_hash
eegnet,s01,run_holdout,120,40,40,0.75,0.75,0.7442455242966752,0.5,0.86,0.8571428571428571,0.6,0.7058823529411765,0.6923076923076923,0.9,0.782608695652174,12,8,2,18,51,13.098767399962526,0.6209610006771982,0.4924499662593007,1.0891800047829738,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s02,run_holdout,120,40,39,0.5384615384615384,0.5276315789473685,0.43019480519480524,0.05645161290322598,0.6552631578947368,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.5277777777777778,0.95,0.6785714285714286,2,17,1,19,4,5.089606199995615,1.321862499753479,1.1468500015325844,2.569079954992046,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s03,run_holdout,120,40,40,0.9,0.8999999999999999,0.899749373433584,0.8,0.9875,0.9444444444444444,0.85,0.8947368421052632,0.8636363636363636,0.95,0.9047619047619048,17,3,1,19,55,13.788174499990419,0.7448019995354116,0.5940499831922352,1.478929963195696,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s04,run_holdout,120,40,40,0.425,0.425,0.3779580797836376,-0.1499999999999999,0.35,0.45161290322580644,0.7,0.5490196078431373,0.3333333333333333,0.15,0.20689655172413793,14,6,17,3,11,6.243199400021695,0.8913840001332574,0.6619500054512173,1.7477150133345267,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s05,run_holdout,119,40,40,0.7,0.7,0.6875,0.4,0.6624999999999999,0.8333333333333334,0.5,0.625,0.6428571428571429,0.9,0.75,10,10,2,18,5,5.439077500021085,1.198268999287393,0.9622499637771398,2.2760850202757856,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s06,run_holdout,106,36,36,0.3888888888888889,0.425,0.3377926421404682,-0.13793103448275845,0.30625,0.3333333333333333,0.1,0.15384615384615385,0.4,0.75,0.5217391304347826,2,18,4,12,0,5.458878500037827,0.7222174984053709,0.6328500167001039,1.1636049894150338,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s07,run_holdout,160,40,39,0.5128205128205128,0.5105263157894737,0.507641196013289,0.021136063408190187,0.5447368421052632,0.5,0.42105263157894735,0.45714285714285713,0.5217391304347826,0.6,0.5581395348837209,8,11,8,12,4,9.30257109995,0.9231925022322685,0.7484500238206238,1.6555849753785878,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s08,run_holdout,118,40,40,0.575,0.575,0.5248078266946191,0.15000000000000002,0.7075,0.7142857142857143,0.25,0.37037037037037035,0.5454545454545454,0.9,0.6792452830188679,5,15,2,18,23,11.342746199981775,0.9685675022774376,0.9403000003658235,1.8807499960530547,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s09,run_holdout,160,40,40,0.5,0.5,0.40476190476190477,0.0,0.3775,0.5,0.1,0.16666666666666666,0.5,0.9,0.6428571428571429,2,18,2,18,5,9.696491900016554,0.7806309990701266,0.5697500018868595,1.5722300362540382,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s10,run_holdout,120,40,40,0.475,0.47500000000000003,0.4129979035639413,-0.050000000000000044,0.525,0.42857142857142855,0.15,0.2222222222222222,0.48484848484848486,0.8,0.6037735849056604,3,17,4,16,8,8.146630899980664,0.8592709980439395,0.7239499827846885,1.5576100413454694,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s11,run_holdout,120,40,40,0.5,0.5,0.45054945054945056,0.0,0.38499999999999995,0.5,0.2,0.2857142857142857,0.5,0.8,0.6153846153846154,4,16,4,16,11,8.98511549999239,0.9153614996466786,0.7038000039756298,1.6966750205028787,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s12,run_holdout,109,38,27,0.4444444444444444,0.48333333333333334,0.39097744360902253,-0.030534351145037997,0.5444444444444444,0.43478260869565216,0.8333333333333334,0.5714285714285714,0.5,0.13333333333333333,0.21052631578947367,10,2,13,2,28,12.170312800037209,2.0036910023191012,1.5433500229846686,4.831684997770935,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s13,run_holdout,120,40,40,0.325,0.32499999999999996,0.32457786116322707,-0.3500000000000001,0.33,0.3333333333333333,0.35,0.34146341463414637,0.3157894736842105,0.3,0.3076923076923077,7,13,14,6,35,15.393906999961473,1.1979514986160211,0.9551999974064529,2.2362799500115202,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s14,run_holdout,120,40,40,0.9,0.8999999999999999,0.899749373433584,0.8,0.92,0.8636363636363636,0.95,0.9047619047619048,0.9444444444444444,0.85,0.8947368421052632,19,1,3,17,10,9.222910600015894,1.1001755014876835,1.0440500336699188,1.9861450069583935,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s15,run_holdout,113,39,38,0.5789473684210527,0.5789473684210527,0.4882154882154882,0.1578947368421053,0.6454293628808865,0.5428571428571428,1.0,0.7037037037037037,1.0,0.15789473684210525,0.2727272727272727,19,0,16,3,12,9.346204399946146,0.8647160007967614,0.6783500139135867,1.7919799545779818,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s16,run_holdout,120,39,40,0.475,0.475,0.43204868154158216,-0.050000000000000044,0.41,0.4444444444444444,0.2,0.27586206896551724,0.4838709677419355,0.75,0.5882352941176471,4,16,5,15,2,7.356699800002389,0.7445730015751906,0.5948999896645546,1.58785499515943,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s17,run_holdout,119,40,40,0.525,0.525,0.4689028651292802,0.050000000000000044,0.54,0.5151515151515151,0.85,0.6415094339622641,0.5714285714285714,0.2,0.2962962962962963,17,3,16,4,27,13.964947300031781,0.7768600026611239,0.6030999938957393,1.6271250380668785,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
eegnet,s18,run_holdout,120,40,40,0.725,0.7250000000000001,0.7234443746071653,0.44999999999999996,0.7424999999999999,0.7647058823529411,0.65,0.7027027027027027,0.6956521739130435,0.8,0.7441860465116279,13,7,4,16,65,24.250157499976922,0.985864000977017,0.976799987256527,1.8449450319167207,2642,ok,,42,82caa7c2cc42e6ad,166bef83a7ea3e7f
